Metric,With Regularization,Without Regularization
Laplacian Smoothing,0.0045397281646728516,0.020015407353639603
Edge Length Loss,0.004149583168327808,0.005936147645115852
Normal Consistency,0.020779667422175407,0.1466275155544281
Edge Length Std,0.0223616324365139,0.03716311976313591
